CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201111,1010,1,1010    ,3,        ,0,2011-11-02,0,18,F FONDOS                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201111,1010,1,1010    ,3,        ,0,2011-11-25,0,196,F FONDOS                 ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,200,BCO GAL                  ,          ,0,0,0.00,406.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,201,BCO GAL IIBB             ,          ,0,0,0.00,6.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,38,E HARRISON FC 1002       ,3348      ,0,953,0.00,1715.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,39,C DE ACOP FC 17119       ,3340      ,0,346,0.00,638.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,40,FAISAL FC 58             ,3342      ,0,347,0.00,4448.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,44,L ESCUDERO FC FC 16552   ,3343      ,0,348,0.00,1929.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,45,JULIO GIMENEZ FC 264     ,3347      ,0,952,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,47,DEL RIO FC 145/177       ,3346      ,0,951,0.00,831.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,50,QUARIN FC 89             ,7667      ,0,604,0.00,8466.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,52,DESAB FC 2187            ,3338      ,0,344,0.00,34.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,55,ZABALA FC SEP/11         ,3334      ,0,341,0.00,9998.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,100,BCO GAL IMP DEB OCT/11   ,          ,0,0,0.00,1977.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,101,BCO GAL IMP CRED         ,          ,0,0,0.00,630.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-01,0,102,BCO GAL SIRCREB          ,          ,0,0,0.00,52.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-02,0,54,RURAL TEC FC 12456       ,3336      ,0,343,0.00,658.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-02,0,53,MEDIA LUNA OCT/2011      ,3335      ,0,342,0.00,180.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-02,0,48,AGROS PASTEUR FC 60085   ,3324      ,0,332,0.00,234.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-02,0,57,CERT ANSES HG            ,3326      ,0,334,0.00,391.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201111,1020,1,1020    ,1,        ,0,2011-11-02,0,58,RODRIGUEZ FC 268         ,3328      ,0,336,0.00,97.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
