CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201201,1010,1,1010    ,2,        ,0,2012-01-12,0,112,COMPRA 70000 DOL         ,          ,0,0,304500.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-01,0,44,MARTINDALE DIC 2011      ,486       ,0,586,0.00,8626.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-01,0,46,EL CIENTO DOS FC 387     ,487       ,0,587,0.00,7068.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-02,0,7,DESAB                    ,1233      ,0,995,0.00,20044.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-03,0,19,GAL RURAL                ,          ,0,0,0.00,12.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-03,0,103,GAL GB                   ,          ,0,0,0.00,420.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-03,0,104,GAL IIBB                 ,          ,0,0,0.00,6.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-04,0,107,GAL IIBB                 ,          ,0,0,0.00,8.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-04,0,106,GAL CHEQUERAS            ,          ,0,0,0.00,484.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-04,0,17,M GRAFICA FC 12682       ,6640      ,0,1045,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-04,0,18,SANTAMARIA RET GAN       ,6617      ,0,1021,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-04,0,9,C SOC DIC2011            ,6618      ,0,1022,0.00,18840.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-04,0,10,EXPENSAS OF              ,1254      ,0,1013,0.00,199.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,20,CRESPO                   ,          ,0,0,139664.93,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,28,WILLANS ANDRES FC 309    ,489       ,0,592,0.00,3978.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,40,QUARIN FC 1292           ,490       ,0,593,0.00,7921.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,109,ZURICH01/5 T11           ,          ,0,0,0.00,641.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,108,ZURICH                   ,          ,0,0,0.00,329.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,110,MAPFRE                   ,          ,0,0,0.00,419.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-05,0,111,MAPFRE ACCP 2/12         ,          ,0,0,0.00,127.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-06,0,13,SAENZ                    ,          ,0,0,159274.88,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,14,OSDE                     ,6625      ,0,1030,0.00,1337.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,15,VISA                     ,1251      ,0,1010,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,12,BCO PCIA CUENCA          ,1247      ,0,1007,0.00,7000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,16,BCO PCIA PASTEUR         ,1253      ,0,1012,0.00,18000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,8,DGI ANT 2 GANANCIAS      ,6830      ,0,1034,0.00,9224.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,38,DIESEL FC 462/463        ,492       ,0,597,0.00,1555.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-09,0,31,CTA FC 634/650           ,493       ,0,598,0.00,428.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-11,0,21,SDO VAC EB               ,1245      ,0,1005,0.00,8305.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-12,0,26,CRESPO                   ,          ,0,0,161189.19,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-12,0,112,COMPRA 70000 DOL         ,          ,0,0,0.00,304500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-13,0,32,IIBB DIC2011             ,6639      ,0,1044,0.00,2110.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,56,POGGI FC 5943            ,3770      ,0,669,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,57,TELEFONICA               ,3789      ,0,685,0.00,218.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,58,RENTAS ANUAL12           ,3792      ,0,687,0.00,1427.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,59,AMX FC 633416            ,3797      ,0,695,0.00,382.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,61,EXP PER 30/12/2012       ,3775      ,0,673,0.00,198.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,62,ASOC POLO ANUAL 2012     ,3764      ,0,665,0.00,2500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,63,DESAB RET GANANCIAS      ,3758      ,0,660,0.00,92.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,64,TEL DE ARG               ,3759      ,0,661,0.00,543.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,65,AFIP                     ,3757      ,0,659,0.00,1595.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,66,TINO LIMP DIC2011        ,3779      ,0,676,0.00,130.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,67,SEG SEP DIC2011          ,3780      ,0,677,0.00,417.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,68,OSDE                     ,3790      ,0,686,0.00,1210.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,69,UATRE DIC2011            ,3781      ,0,678,0.00,556.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,70,A EXPRES                 ,3800      ,0,694,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,73,ZABALA FC 27289/341      ,3794      ,0,689,0.00,903.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,76,CORRAL FC 865            ,3793      ,0,688,0.00,576.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,113,OSDE                     ,          ,0,0,0.00,2340.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-16,0,114,AFIP                     ,          ,0,0,0.00,1369.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-18,0,96,JOCK DIC/2011            ,3771      ,0,670,0.00,780.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-20,0,97,DESAB                    ,3798      ,0,692,0.00,8221.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-23,0,84,HARRISON FC 990  9/11    ,3760      ,0,662,0.00,8361.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-23,0,115,RURALTEC FC 12683        ,1215      ,0,988,0.00,823.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-25,0,151,OLEA  A CTA FC 5293      ,3795      ,0,690,0.00,15000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-25,0,188,EL GURRIA FC 837/1830    ,3496      ,0,203,0.00,4546.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-25,0,86,PONTIGGIA FC 38079/37995 ,3767      ,0,667,0.00,1556.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-25,0,90,CECT                     ,3773      ,0,672,0.00,1529.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-25,0,92,SERVI COOP SA  FC 64006/ ,3776      ,0,674,0.00,510.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-27,0,41,SAENZ                    ,          ,0,0,275970.02,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-30,0,82,DECESARE FC 31830        ,3784      ,0,681,0.00,323.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-30,0,78,MEDIA LINA ENER-2012     ,3787      ,0,683,0.00,241.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-30,0,80,SINEGUB FC 6244          ,3785      ,0,682,0.00,2493.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-30,0,189,HH FC 24                 ,3497      ,0,209,0.00,20938.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-30,0,183,QUARIN                   ,3498      ,0,210,0.00,7920.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-31,0,198,BG IMP DEB               ,          ,0,0,0.00,3479.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-31,0,199,BG IMP CRED              ,          ,0,0,0.00,4416.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,1,        ,0,2012-01-31,0,200,BG SIRCREB               ,          ,0,0,0.00,368.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201201,1020,1,1020    ,3,        ,0,2012-01-30,0,201,BPCC IMP DEB             ,          ,0,0,0.00,0.60,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
90,201201,1020,1,1020    ,3,        ,0,2012-01-31,0,202,BPCC GB                  ,          ,0,0,0.00,100.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-02,0,47,DIC2011                  ,870       ,0,590,0.00,2040.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-04,0,50,PROOV PAGO HERNAN        ,8871      ,0,591,0.00,3893.70,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-06,0,51,PAGO PATENTE ANUAL       ,872       ,0,595,0.00,9725.20,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-06,0,52,HAG                      ,8873      ,0,596,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-09,0,16,BCO PCIA PASTEUR         ,          ,0,0,18000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-10,0,53,NATALIA                  ,874       ,0,599,0.00,1200.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-10,0,54,CATALINA                 ,875       ,0,600,0.00,1280.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,5,HEREÑU ENERO2012         ,8864      ,0,581,0.00,8180.20,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,1,RIVERO ENERO/2012        ,8868      ,0,585,0.00,2608.87,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,2,CORONEL ENERO/2012       ,8867      ,0,584,0.00,2660.47,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,3,VALLEJOS ENERO/2012      ,8866      ,0,583,0.00,2557.52,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,4,PIIERCAMILLO ENERO/2012  ,8865      ,0,582,0.00,1255.50,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,187,RAQUEL 12 DIAS ENERO     ,8876      ,0,204,0.00,1560.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,185,R CALLESS FC 359         ,8878      ,0,206,0.00,215.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,186,JA FC 3508               ,8877      ,0,205,0.00,536.96,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,184,CASADO FC ENERO/2012     ,8879      ,0,207,0.00,2971.05,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,181,HH CORDERO/GUIAS         ,8880      ,0,208,0.00,2723.81,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-30,0,182,ANA MARIA                ,8901      ,0,211,0.00,840.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-31,0,194,BPP IMP DEB              ,          ,0,0,0.00,212.97,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-31,0,195,BPP IMP CRED             ,          ,0,0,0.00,108.05,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-31,0,196,BPP GB                   ,          ,0,0,0.00,109.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,5,        ,0,2012-01-31,0,197,BPP SIRCREB              ,          ,0,0,0.00,9.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
90,201201,1020,1,1020    ,8,        ,0,2012-01-09,0,12,BCO PCIA CUENCA          ,          ,0,0,7000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
90,201201,1020,1,1020    ,8,        ,0,2012-01-18,0,203,VISA C                   ,          ,0,0,0.00,10136.47,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
90,201201,1050,1,1050    ,100,        ,0,2012-01-16,0,153,BRESUR FC27433           ,          ,1,27433,0.00,153.16,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
90,201201,1050,1,1050    ,104,        ,0,2012-01-12,0,33,SIGRA FC 39411           ,          ,1,39411,0.00,2549.47,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
90,201201,1050,1,1050    ,104,        ,0,2012-01-12,0,34,SIGRA FC 39397           ,          ,1,39397,0.00,702.41,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
90,201201,1050,1,1050    ,104,        ,0,2012-01-12,0,35,SIGRA FC 2627            ,          ,1,2627,0.00,5345.44,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
90,201201,1050,1,1050    ,114,        ,0,2012-01-01,0,152,OLEA ND 5911             ,          ,0,5911,0.00,11.73,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,OLEAGINOSA MORENO HNOS SACIFI ,                              
