CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,2,OSDE                     ,4972      ,0,710,0.00,1338.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,3,CREA FC 110936           ,4995      ,0,731,0.00,105.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,4,FS FEBRERO12             ,6647      ,0,1051,0.00,306.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,5,UATRE FEB 2012           ,6646      ,0,1050,0.00,408.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,6,CS FEB 2012              ,4982      ,0,719,0.00,13257.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,7,ASOC CRIS HER 1 TRIM 2012,6663      ,0,1067,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,8,MAPFRE                   ,6662      ,0,1066,0.00,103.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-01,0,35,BCO GAL COMISI           ,          ,0,0,0.00,340.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-02,0,26,MARTINDALE 02/2012       ,6664      ,0,1068,0.00,9235.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-02,0,29,CASA EL TUC FC 87943     ,9830      ,0,1076,0.00,2123.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-02,0,20,DEL RIO FC 12634/711/9   ,6659      ,0,1063,0.00,411.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-02,0,21,ENCOS SA FC 2768         ,6658      ,0,1062,0.00,3086.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-02,0,22,RUCAM FC 31032           ,6656      ,0,1060,0.00,1460.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-03,0,23,ESCUDERO FC 17171        ,9836      ,0,1082,0.00,407.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-03,0,24,O GALVAN FC 1862         ,9835      ,0,1081,0.00,2851.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-03,0,1,AS FC 220                ,6641      ,0,1046,0.00,24510.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-05,0,11,HG MARZO/12              ,9828      ,0,1074,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-05,0,12,JUAN MARZO/12            ,9827      ,0,1073,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-05,0,25,DESAB FC 5221            ,9832      ,0,1078,0.00,9152.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-05,0,13,JAIME MARZO /12          ,9829      ,0,1075,0.00,7000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201203,1020,1,1020    ,1,        ,0,2012-03-05,0,36,ZURICH 4/5 PEU           ,          ,0,0,0.00,329.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
